id,status,name,slug,category,subCategory,tags,town,region,address,contactName,phone,whatsapp,email,website,facebook,instagram,openingHours,shortDescription,description,createdAt,approvedAt,approvedBy,shuffleSeed
YZB3nhlfhauJTYU1EIFX,approved,אוליב צימר ישראלי,avlyb-tzymr-yshraly-mnr2utev,תיירות ואירוח,,,בית הלל,,בית הלל,ניקול ישראלי,505742777,,olive.zimmer.israeli@gmail.com,https://olivezimmer.com,,https://www.instagram.com/olivezimmer?igsh=c245MnY3ZHQ0ZzF0,,,"מתחם מקסים של 2 צימרים יפים,מאובזרים ונקיים שמתאימים גם למשפחות .",2026-04-09T06:09:47.518Z,2026-04-09T06:23:09.617Z,sgolan20@gmail.com,331252156
w3PBjKLJIyv3fSEzzcSH,approved,North valley winery suite,north-valley-winery-suite-mnrc0w28,תיירות ואירוח,,,בית הלל,,הפקאן 173 בית הלל,משה,050-7984430,,,https://www.booking.com/hotel/il/north-valley-winery-suite.he.html?aid=356980&label=gog235jc-10CAsoakIZbm9ydGgtdmFsbGV5LXdpbmVyeS1zdWl0ZUgzWANoaogBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC4_zdzgbAAgHSAiQ4ZDU1MGQ2Mi1jMzZkLTQ1ZTUtYTRlMy05ZmQyNzY0YjhkOTTYAgHgAgE&sid=e2b8542a3fe66327db8e76906bdb5663&dest_id=-779444&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1775730289&srpvid=ed214932e9c9057c&type=total&ucfs=1&,,,,,"שתי יחידות אירוח (כרגע רק אחת פנויה השנייה משמשת לחיילים להתקלח) כניסה פרטית במקום פינתי שקט, אוהבים לארח על כוס יין 🍷🍇מתאים בעיקר לזוגות, אבל אפשר גם עם ילד אחד (או שנים אם קטנים ומוכנים לישון באותה ספה נפתחת).",2026-04-09T10:26:27.898Z,2026-04-09T11:07:43.768Z,sgolan20@gmail.com,589887945
oqWIW0R7CDGpZmxyXPBT,approved,PIC,pic-mnsslqnn,טיפולים ובריאות,,,בני יהודה,,בני יהודה,סיגל ניצן,052-8695244,,personalinformationcenter22@gmail.com,https://pic-healing.com/,https://www.facebook.com/share/1CFofztZQ8/,,8 עד 20,,"אפליקציה חינמית לריפוי עצמי. בעזרתה תוכלו להשתחרר מהתלות בתרופות, רופאים מטפלים. כי כל הידע לריפוי שלך נמצא בתוכך. הכנסו לאפליקציה וצפו בקורס דיגיטלי חינמי שיקח אתכם צעד אחר צעד בתהליך הריפוי.",2026-04-10T10:58:22.449Z,2026-04-10T11:33:06.072Z,sgolan20@gmail.com,648175867
C7azLyT7QTZaj53WPH75,approved,עידן הפרי,aydn-hpry-mnrmt8w0,חקלאות ומזון מקומי,,,בצת,,"הנחל 34, בצת",עידן,548089061,,idanfruit@gmail.com,https://Www.idanfruit.co.il,https://facebook.com/Idanfruit,https://Instagram. Com/IdanFruit‏,"א-ה 10:00 -15:00, שישי בתיאום מראש. עכשיו סגור עד שיאשרו פתיחה",,"עידן הפרי הינו מפעל משפחתי לייבוש פירות ויצירת מתוקים מהטבע במושב בצת. מהחקלאות של המשק שלנו ומחקלאים נוספים בארץ אנחנו מייבשים את הפירות ללא תוספת סוכר,ללא שימוש בחומרי שימור וללא צבעי מאכל. הכי קרוב לטבע. מייצרים גם חטיפי פירות, לדר ועוד שלל של מוצרים על טהרת הפרי.",2026-04-09T15:28:26.950Z,2026-04-09T16:21:47.476Z,sgolan20@gmail.com,553192945
RObJDkLbx3P9p9eIvXmD,approved,תוצאות- רינת,tvtzavt-rynt-mnromgeo,ייעוץ והדרכה עסקית,,,בר יוחאי,,,רינת,542873492,,rinat@3-t.co.il,https://3-t.co.il,https://www.facebook.com/TOZAOT,,א-ה 09:00-18:00,,"המצוינות שלכם- השליחות שלנו ארגונים מורכבים מאנשים, ותוצאות נמדדות ביכולת להפוך אסטרטגיה מורכבת לביצוע פשוט, מדויק ואנושי. ""תוצאות"" הוקמה מתוך מטרה אחת: להעניק למנהלים וארגונים את המצפן והכלים להשגת יעדים יוצאי דופן, תוך מיקסום הפוטנציאל הקיים בכל אחד מחברי הצוות. שירותי הבוטיק שלנו: אני לא מאמינה בפתרונות מדף. כל ליווי נתפר אישית למידות הארגון: •	ליווי ניהולי: שילוב בין הנדסת תעשייה, ניהול פרויקטים ושיפור תהליכים להשגת מצוינות ארגונית •	פיתוח הון אנושי: סדנאות, קורסים ותהליכי אימון לשיפור ביצועים וחיזוק השדרה הניהולית המומחיות בשטח הניסיון שלנו נבנה דרך עשרות פרויקטים בארגונים המובילים במשק הישראלי אסטרטגיה ומנועי צמיחה | מצוינות וניהול שינוי | פיתוח מנהיגות | ביסוס שדרה ניהולית | מיקוד ויעדים",2026-04-09T16:19:11.591Z,2026-04-09T16:21:30.131Z,sgolan20@gmail.com,657563476
Z7PZpFXC5IzON5ic86ym,approved,כרם הר זמר,krm-hr-zmr-mnqwzl00,חקלאות ומזון מקומי,,,דישון,,דישון 28,עופר גידסי,052-6947249,052-6947249,ofergidasi@gmail.com,https://Harzemer.com,,,כל השבוע חוץ משבת בתאות טלפוני,,יקב בוטיק המגדל את הענבים ממנו מיוצר היין. מבחר יינות וסיורי יין יחודיים,2026-04-09T03:25:32.020Z,2026-04-09T04:12:20.509Z,sgolan20@gmail.com,56055932
HTqFrYj7Pu0ILxbol7JI,approved,"אדממן - מלאכות קדומות, הפקות תוכן וסיורי עומק",admmn-mlakvt-kdvmvt-hpkvt-tvkn-vsyvry-avmk-mnqm4vm3,קורסים וסדנאות,,,דישון,,,עזרא ביאזי,054-2006511,,ezra@adamamen.co.il,https://get-marketing.co.il/admaman/,https://www.facebook.com/share/1B91oXryHT/,,א-ו 08:30 - 19:00,,"אדממן, בהובלת עזרא ביאזי, היא מרחב לחיבור עמוק בין אדם, אדמה ויצירה. אנו מתמחים בהפקות תוכן ייחודיות ורחבות היקף עבור מועצות אזוריות, ארגונים ומוסדות חינוך, לצד סדנאות אמן וסיורי עומק לקבוצות ולקהל המבוגר.  ב'אדממן' אנו מחזירים לחיים מלאכות קדומות דרך נגרות שטח, פיסול באבן, גילוף בעץ, עבודה בעור והכנת חבלים. אנו מציעים חוויה ייחודית של סדנאות חקר בגאולוגיה, אסטרונומיה, תדרים וקריסטלים, המשלבות למידה מדעית עם חיבור רוחני לטבע. כעסק מוביל בצפון, אנו מפיקים טיולים מיוחדים, השתלמויות צוות וימי גיבוש איכותיים המשלבים יצירה וסיורי שטח ברמת הגולן ובגליל. הצוות שלנו מיומן בהנחיית אירועים רב-משתתפים (מאות אנשים) המביאים ערך מוסף, שקט ודיוק מקצועי. עזרא ביאזי - אדממן",2026-04-08T22:21:44.415Z,2026-04-08T23:25:04.705Z,sgolan20@gmail.com,810961243
1rjqHOzt85P4m0Wcrm37,approved,אחוזת דלתון,achvzt-dltvn-mnr4hrcp,תיירות ואירוח,,,דלתון,,,איתי בראל,539271735,,a0533119543@gmail.com,,,,א-ו,,וילת אירוח בעצוב מיוחד בריכה ענקית 12 על 4 ג'קוזי משחקי שולחן 7 חדרי שינה,2026-04-09T06:55:38.002Z,2026-04-09T07:04:44.925Z,sgolan20@gmail.com,974573610
LyoUvSyu1rxKewXFlhhm,approved,דרור אינסטלציה,drvr-aynstltzyh-mnqyj864,בנייה ושיפוצים,,,דפנה,,קיבוץ דפנה,דרור גרפונקל,545784849,,drorgar@gmail.com,,,,8:00-17:00,,קבלן רשום אינסטלציה ושיפוצים  מתן מענה לבעיות אינסטלציה וביצוע פרויקטים עבור קהל מוסדי ופרטי,2026-04-09T04:08:47.993Z,2026-04-09T04:12:06.272Z,sgolan20@gmail.com,463475173
uthbj2qZwdgrrBTRmc1m,approved,המשקאות של גרופר,hmshkavt-shl-grvpr-mnzo5hic,חקלאות ומזון מקומי,,,דפנה,,אזור התעשיה קיבוץ דפנה,לירון קופר,527747477,,liron@growper.co.il,https://Growper.co.il,,,,,"בגרופר אנחנו מציעים משקאות על בסיס מיץ פירות טעימים בטירוף ללא תוספת סוכר אבל מתוקים רק מהפרי. ללא חומרים משמרים וללא חומרי טעם וריח. יש לנו משקאות קלים מוגזים, מיצים טבעיים קוקטיילים ועוד.",2026-04-15T06:28:07.730Z,2026-04-15T21:00:31.645Z,sgolan20@gmail.com,589652166
jBEPU7hInWOedaQH4rtu,approved,מלביהו - מלבי בוטיק גלילי וקינוחים נוספים,mlbyhv-mlby-bvtyk-glyly-vkynvchym-nvspym-mnrnpcd4,מסעדנות וקייטרינג,,,דפנה,,קיבוץ דפנה,לירון בירנצויג,525418835,525418835,malabiyahu@gmail.com,https://www.instagram.com/malabiyahu?igsh=Mm40bjN5YmVqcGd0,https://www.instagram.com/malabiyahu?igsh=Mm40bjN5YmVqcGd0,https://www.instagram.com/malabiyahu?igsh=Mm40bjN5YmVqcGd0,"ד-ה 14:00-19:00 , שישי-שבת 10:00-18:00",,"מלביהו - מלבי בוטיק גלילי מקיבוץ דפנה. אשמח להציע את שירותינו עבור אירועי חברה, כנסים, happyhour ועוד. מצ""ב הקטלוג שלנו, הכולל בתוכו-את התפריט שלנו, תעודת כשרות ותמונות מאירועים :) אנו מגיעים לכל מקום בארץ עם דוכן חלוקה / משלוח ובופה לעובדיםמלבי חלבי וטבעוני עם מגוון סירופים ותוספות ומגוון מוצרים נוספים הנעשים בעבודת ידינו, ומפורטים בקטלוג;) עקב המצב, העסק שלנו היה מפונה והקמנו את עצמנו במרכז הארץ, נשמח להציע לכם את התוצרת שלנו.האם יש אירוע קרוב שנוכל לתת לך הצעה? נשמח לעשות לכם טעים ושמח",2026-04-09T15:53:25.631Z,2026-04-09T16:21:38.851Z,sgolan20@gmail.com,83674039
2NfA1bf0mkosfhdshQ3z,approved,מאיוגה,mayvgh-mnr92o2k,ספורט ופנאי,,,דפנה,,,מאי קרפל,548134564,,Maykarpel36@gmail.com,,,https://www.instagram.com/may_karpel?igsh=N3p6YTVvb2xhb2Y4&utm_source=qr,,,"אני מאי מורה ליוגה. השיעורים שלי משלבים יוגה בסגנון האטה-ויניאסה יחד עם דיוק טכני והקשבה פנימית, מתוך מטרה ליצור תרגול שהוא גם מיטיב לגוף וגם נעים ומחבר מבפנים.  אני מעבירה שיעורים קבוצתיים באווירה אינטימית וגם מציעה ליווי אישי, זוגי וקבוצתי, בהתאם לצורך של כל מתרגל/ת. בנוסף, אני משלבת בעשייה שלי השראה מעולמות האיורוודה וההתפתחות האישית, מתוך רצון להסתכל על האדם כשלם.  מה שמייחד אותי הוא השילוב בין מקצועיות ודיוק לבין גישה אנושית, רגישה ונגישה. אני מאמינה שתנועה היא כלי לריפוי, שחרור וחיזוק לא רק פיזי אלא גם מנטלי ורגשי.  התרגולים מותאמים גם לתקופות מורכבות, עם דגש על יצירת מרחב בטוח, רגוע ומכיל שבו אפשר לנשום, לזוז ולהרגיש טוב יותר.",2026-04-09T09:03:52.020Z,2026-04-09T09:09:16.729Z,sgolan20@gmail.com,217233654
2DHnzrYG3rMSr6bhd0iQ,approved,Lor’e by Ravit,lore-by-ravit-mnr9u4e9,אומנות ועבודת יד,,,הגושרים,,,רווית,506447015,506447015,lorebyravit@gmail.com,https://Lorebyravit.co.il,,,,,"שמי רווית, מטפלת מוסמכת בפרחי באך מעולם הרפואה הטבעית-משלימה, ומעצבת תכשיטים בעבודת יד המכילים בתוכם תמציות פרחי באך לאיזון ורוגע, זרימה והתחדשות, אהבה וחמלה עצמית. התכשיטים נועדו כדי להוות לך עוגן אישי ותזכורת יפה, נעימה ועדינה לחוזקות שבך. מושלם כמתנה מקורית ומרגשת לעצמך או לאדם אהוב.  הקליניקה והסטודיו הביתי שלי נמצאים בקיבוץ הגושרים שבגליל העליון ואני מציעה משלוחים ושירותי אונליין לכל רחבי הארץ.",2026-04-09T09:25:12.837Z,2026-04-09T09:45:01.972Z,sgolan20@gmail.com,659904780
DgWTpmMUClFVibpKqvvJ,approved,יערת הדבש- ארומתרפיה גלילית,yart-hdbsh-arvmtrpyh-glylyt-mnwxtv88,טיפולים ובריאות,,,הגושרים,,הגושרים,יערה הר שגיא,054-669-3216,,yaareiss@gmail.com,https://www.yaarat-hadvash.com,https://www.facebook.com/yaara.harsagi,https://www.instagram.com/yaara_har_sagi/,"א-ה: 9:00-18:00, ו- 9:00-13:00",,"נעים מאוד, אני יערה הר שגיא, רוקחת טבעית וארומתרפיסטית בכירה. העסק שלי משלב רוקחות אישית בהתאמה מדויקת לצרכי המטופלת, מוצרי מדף טבעיים וטיפולים המשלבים שיחה, התאמת שמנים ומגע. בימים אלו אני מתמקדת בחיזוק החוסן דרך ""מארז החוסן הגלילי"" שרקחתי במיוחד להרגעת הגוף והנפש ונשלח לכל מקום בארץ.  מציעה גם מפגשי תטא הילינג מרחוק – המאפשרים עבודה רגשית עמוקה ושחרור חסמים גם ללא הגעה פיזית לקליניקה.  הייחוד שלי הוא השילוב בין ידע מקצועי כרוקחת לבין גישה טיפולית עמוקה, המעניקה מענה הוליסטי למתח וחרדה דרך כוחו המרפא של הטבע.",2026-04-13T08:35:43.099Z,2026-04-13T10:23:31.007Z,sgolan20@gmail.com,476110699
